Name,Description,Creator
The Crowd,"Everyone must stay piled up, sidearms only, no aiming down sights",mizou#5352
Grasshoppers,"Can only move by jumping, no aiming down sights, can only shoot in the air",mizou#5352
2 Spooky 4 Me,Must stand still while an enemy is in sight.,mizou#5352
Not One Step Back,Can only move forward. No strafing or backing up.,mizou#5352
Heavy Mag,You can only move when your magazine is half depleted,mizou#5352
Spawn Camp,No one gets to leave spawn,mizou#5352
Simple Minded,"Can't turn while moving, cant move while turning",mizou#5352
Lighting Reflexes,"Turn Sensitivity to max, no aiming down sight",mizou#5352
The Tortoise,"Turn Sensitivity to min, only aiming down sight",mizou#5352
The Spotters,"5 players are spotters, they can't kill, only call out enemies. The 6th person is the killer",mizou#5352
Follow the Leader,"Everyone runs around the map, behind each other, creating a snake",mizou#5352
Double Barrell,"You can only fire twice, then you must reload",mizou#5352
You're It!,"Only one person may leave spawn. When that person dies or gets a kill, the next person leaves.",mizou#5352
DIM PLZ,"Go to DIM and select ""randomize""",mizou#5352
Ratpack,No explanation needed,mizou#5352
Holy Shit,"Only use white weapons and armor, no supers",mizou#5352
360 no scope,Before you shoot you have to do jump and a 360,mizou#5352
Grounded,No Jumping,mizou#5352
backwards headset,180 your headset,mizou#5352
Crab People,Can only move when you crouching,mizou#5352
VIP,"Select a VIP. Everyone protects the VIP, if the VIP dies, elect a new VIP",mizou#5352
FaZe Up,Can only use a sniper without scoping,mizou#5352
Daddy Day Care,Can only use dad weps,mizou#5352
Maniac,"Once you start shooting, you have to empty the clip before you can stop shooting",mizou#5352
Buddy,Pick a buddy. You have to stick with your buddy,mizou#5352
Walling,"Follow a wall at all times, wherever the wall goes, you go",mizou#5352
Nemesis,Everybody picks a different enemy and tries to kill them first.,mizou#5352
Stand up,Stand up for the entire game,mizou#5352
Shitty Accents,Everyone must talk with a shitty accent,mizou#5352
New Years Resolution,Everyone must change their resolution,mizou#5352
Red Light Green Light,One player calls red light or green light to determine team mates ability to move.,mizou#5352
Outlaws,Only use the last word,mizou#5352
Freestyle,"Whenever you die, you have to freestyle rap about how you died and say callouts by rapping.",mizou#5352
Style Points,"After killing an enemy, you must dance",mizou#5352
Snake Eater,"Everyone is forced to stay crouched, hand cannons and sidearms only",mizou#5352
Lazer Tag,Trace Rifles only,mizou#5352
Inverted,Invert both your vertical and horizontal mouse settings(Left becomes Right),Benihime#6969
Team work,Must do a 2-3 person emote after every and any point capture,BanditLORDOFSEXY#4752
Not So Cozzy,"The First person to die in a match must use a loadout, filling every slot with items they aren't good with.",BanditLORDOFSEXY#4752
Match Game,Pick someone on the enemy team and match their loadout,Benihime#6969
Whether we wanted to or not,Use all Cabal weps. Top Fragger has to read the entirety of Zavalas speech,mizou#5352
Rhymes & Crimes,The bottom fragger of the last round can only talk in rhymes the following round.,BanditLORDOFSEXY#4752
Colorblind,Set your game to colorblind mode,Benihime#6969
Spook Time,Wear a halloween mask. Loadout must match mask. Bonus points if everyone has the same one.,mizou#5352
Console Peasant,30 FPS FTW,Benihime#6969
Vex Happened,Vex Weps only,mizou#5352
Sweet Business,Business is good,mizou#5352
NO U,Can only damage someone by using richochet rounds,mizou#5352
Shoes for hands,Controller....UGH,mizou#5352
